{1 JetEta 0 None ScaleFactor}
-5.191   -3.139   3  1.06  0.8165   1.3035
-3.139   -2.964   3  1.23  1.1151   1.3449
-2.964   -2.853   3  1.66  1.5054   1.8146
-2.853   -2.5  3  1.63  1.3732   1.8868
-2.5  -2.322   3  1.29  1.0004   1.5796
-2.322   -2.043   3  1.1   0.9726   1.2274
-2.043   -1.93 3  1.07  0.8876   1.2524
-1.93 -1.74 3  1.1   1.0512   1.1488
-1.74 -1.305   3  1.1   1.0464   1.1536
-1.305   -1.131   3  1.04  0.9453   1.1347
-1.131   -0.783   3  1.11  1.0493   1.1707
-0.783   -0.522   3  1.11  1.0263   1.1937
-0.522   0  3  1.19  1.1227   1.2573
0  0.522 3  1.19  1.1227   1.2573
0.522 0.783 3  1.11  1.0263   1.1937
0.783 1.131 3  1.11  1.0493   1.1707
1.131 1.305 3  1.04  0.9453   1.1347
1.305 1.74  3  1.1   1.0464   1.1536
1.74  1.93  3  1.1   1.0512   1.1488
1.93  2.043 3  1.07  0.8876   1.2524
2.043 2.322 3  1.1   0.9726   1.2274
2.322 2.5   3  1.29  1.0004   1.5796
2.5   2.853 3  1.63  1.3732   1.8868
2.853 2.964 3  1.66  1.5054   1.8146
2.964 3.139 3  1.23  1.1151   1.3449
3.139 5.191 3  1.06  0.8165   1.3035
