{1 JetEta 0 None ScaleFactor}
-5.191 -3.139 3 1.0733 1.0057 1.1409
-3.139 -2.964 3 1.2257 1.1805 1.2709
-2.964 -2.853 3 1.7292 1.5285 1.9300
-2.853 -2.500 3 1.6736 1.2944 2.0528
-2.500 -2.322 3 1.2299 1.1212 1.3386
-2.322 -2.043 3 1.1612 1.0966 1.2258
-2.043 -1.930 3 1.0459 0.8881 1.2036
-1.930 -1.740 3 1.1019 1.0633 1.1405
-1.740 -1.305 3 1.1006 1.0161 1.1852
-1.305 -1.131 3 1.0781 0.9830 1.1731
-1.131 -0.783 3 1.1029 1.0719 1.1339
-0.783 -0.522 3 1.1475 1.0954 1.1995
-0.522 -0.000 3 1.1677 1.1200 1.2154
0.000 0.522 3 1.1677 1.1200 1.2154
0.522 0.783 3 1.1475 1.0954 1.1995
0.783 1.131 3 1.1029 1.0719 1.1339
1.131 1.305 3 1.0781 0.9830 1.1731
1.305 1.740 3 1.1006 1.0161 1.1852
1.740 1.930 3 1.1019 1.0633 1.1405
1.930 2.043 3 1.0459 0.8881 1.2036
2.043 2.322 3 1.1612 1.0966 1.2258
2.322 2.500 3 1.2299 1.1212 1.3386
2.500 2.853 3 1.6736 1.2944 2.0528
2.853 2.964 3 1.7292 1.5285 1.9300
2.964 3.139 3 1.2257 1.1805 1.2709
3.139 5.191 3 1.0733 1.0057 1.1409
