{ 2 JetEta JetPt 0 None ScaleFactor }
-5.191 -3.139 0 7000 3 1.0986 0.9834 1.2137
-3.139 -2.964 0 7000 3 1.2764 1.2158 1.3370
-2.964 -2.853 0 10 3 1.27616 1.07616 1.47616
-2.964 -2.853 10 20 3 1.28279 1.08279 1.48279
-2.964 -2.853 20 30 3 1.29571 1.09571 1.49571
-2.964 -2.853 30 40 3 1.31427 1.11427 1.51427
-2.964 -2.853 40 50 3 1.33762 1.13762 1.53762
-2.964 -2.853 50 60 3 1.36478 1.16478 1.56478
-2.964 -2.853 60 70 3 1.39476 1.19476 1.59476
-2.964 -2.853 70 80 3 1.4266 1.2266 1.6266
-2.964 -2.853 80 90 3 1.45945 1.25945 1.65945
-2.964 -2.853 90 100 3 1.49257 1.29257 1.69257
-2.964 -2.853 100 110 3 1.52538 1.32538 1.72538
-2.964 -2.853 110 135 3 1.57921 1.37921 1.77921
-2.964 -2.853 135 160 3 1.65152 1.45152 1.85152
-2.964 -2.853 160 185 3 1.71415 1.51415 1.91415
-2.964 -2.853 185 210 3 1.76715 1.56715 1.96715
-2.964 -2.853 210 235 3 1.81148 1.61148 2.01148
-2.964 -2.853 235 260 3 1.84841 1.64841 2.04841
-2.964 -2.853 260 285 3 1.87917 1.67917 2.07917
-2.964 -2.853 285 310 3 1.90487 1.70487 2.10487
-2.964 -2.853 310 335 3 1.92643 1.72643 2.12643
-2.964 -2.853 335 360 3 1.94462 1.74462 2.14462
-2.964 -2.853 360 385 3 1.96005 1.76005 2.16005
-2.964 -2.853 385 410 3 1.97322 1.77322 2.17322
-2.964 -2.853 410 435 3 1.98452 1.78452 2.18452
-2.964 -2.853 435 460 3 1.99428 1.79428 2.19428
-2.964 -2.853 460 485 3 2.00275 1.80275 2.20275
-2.964 -2.853 485 7000 3 2.08473 1.88473 2.28473
-2.853 -2.65 0 10 3 1.03251 1 1.23251
-2.853 -2.65 10 20 3 1.04365 1 1.24365
-2.853 -2.65 20 30 3 1.06517 1 1.26517
-2.853 -2.65 30 40 3 1.09573 1 1.29573
-2.853 -2.65 40 50 3 1.1336 1 1.3336
-2.853 -2.65 50 60 3 1.17691 1 1.37691
-2.853 -2.65 60 70 3 1.22388 1.02388 1.42388
-2.853 -2.65 70 80 3 1.27293 1.07293 1.47293
-2.853 -2.65 80 90 3 1.32271 1.12271 1.52271
-2.853 -2.65 90 100 3 1.37216 1.17216 1.57216
-2.853 -2.65 100 110 3 1.4205 1.2205 1.6205
-2.853 -2.65 110 135 3 1.49854 1.29854 1.69854
-2.853 -2.65 135 160 3 1.60128 1.40128 1.80128
-2.853 -2.65 160 185 3 1.68862 1.48862 1.88862
-2.853 -2.65 185 210 3 1.76152 1.56152 1.96152
-2.853 -2.65 210 235 3 1.82188 1.62188 2.02188
-2.853 -2.65 235 260 3 1.87176 1.67176 2.07176
-2.853 -2.65 260 285 3 1.91306 1.71306 2.11306
-2.853 -2.65 285 310 3 1.9474 1.7474 2.1474
-2.853 -2.65 310 335 3 1.9761 1.7761 2.1761
-2.853 -2.65 335 360 3 2.00024 1.80024 2.20024
-2.853 -2.65 360 385 3 2.02067 1.82067 2.22067
-2.853 -2.65 385 410 3 2.03806 1.83806 2.23806
-2.853 -2.65 410 435 3 2.05296 1.85296 2.25296
-2.853 -2.65 435 460 3 2.06581 1.86581 2.26581
-2.853 -2.65 460 485 3 2.07695 1.87695 2.27695
-2.853 -2.65 485 7000 3 2.18415 1.98415 2.38415
-2.65 -2.5 0 10 3 1.19685 1 1.39685
-2.65 -2.5 10 20 3 1.19779 1 1.39779
-2.65 -2.5 20 30 3 1.19965 1 1.39965
-2.65 -2.5 30 40 3 1.20243 1.00243 1.40243
-2.65 -2.5 40 50 3 1.20608 1.00608 1.40608
-2.65 -2.5 50 60 3 1.21056 1.01056 1.41056
-2.65 -2.5 60 70 3 1.21582 1.01582 1.41582
-2.65 -2.5 70 80 3 1.22181 1.02181 1.42181
-2.65 -2.5 80 90 3 1.22847 1.02847 1.42847
-2.65 -2.5 90 100 3 1.23573 1.03573 1.43573
