{1 JetEta 0 None ScaleFactor}
-5.191   -3.139   3  1.0439   0.8399   1.2479
-3.139   -2.964   3  1.1826   0.9768   1.3884
-2.964   -2.853   3  1.8935   0.9616   2.8254
-2.853   -2.5  3  2.4518   1.8761   3.0275
-2.5  -2.322   3  1.493 1.1824   1.8036
-2.322   -2.043   3  1.0903   0.8772   1.3034
-2.043   -1.93 3  1.1157   0.8941   1.3373
-1.93 -1.74 3  1.1428   0.9164   1.3692
-1.74 -1.305   3  1.0997   0.81  1.3894
-1.305   -1.131   3  1.1585   1.0474   1.2696
-1.131   -0.783   3  1.1109   1.0433   1.1785
-0.783   -0.522   3  1.137 1.0401   1.2339
-0.522   0  3  1.1401   1.1078   1.1724
0  0.522 3  1.1401   1.1078   1.1724
0.522 0.783 3  1.137 1.0401   1.2339
0.783 1.131 3  1.1109   1.0433   1.1785
1.131 1.305 3  1.1585   1.0474   1.2696
1.305 1.74  3  1.0997   0.81  1.3894
1.74  1.93  3  1.1428   0.9164   1.3692
1.93  2.043 3  1.1157   0.8941   1.3373
2.043 2.322 3  1.0903   0.8772   1.3034
2.322 2.5   3  1.493 1.1824   1.8036
2.5   2.853 3  2.4518   1.8761   3.0275
2.853 2.964 3  1.8935   0.9616   2.8254
2.964 3.139 3  1.1826   0.9768   1.3884
3.139 5.191 3  1.0439   0.8399   1.2479
