{1 JetEta 0 None ScaleFactor}
-5.191 -3.139 3 1.0777 1.0235 1.1319
-3.139 -2.964 3 1.1759 1.1219 1.2298
-2.964 -2.853 3 2.2520 1.8978 2.6062
-2.853 -2.500 3 2.3588 1.7177 2.9999
-2.500 -2.322 3 1.4494 1.2992 1.5997
-2.322 -2.043 3 1.1177 1.0456 1.1898
-2.043 -1.930 3 1.0977 1.0026 1.1927
-1.930 -1.740 3 1.0916 1.0486 1.1346
-1.740 -1.305 3 1.1069 1.0179 1.1959
-1.305 -1.131 3 1.1217 1.0390 1.2043
-1.131 -0.783 3 1.1253 1.0910 1.1596
-0.783 -0.522 3 1.1504 1.0776 1.2231
-0.522 -0.000 3 1.1588 1.1196 1.1980
0.000 0.522 3 1.1588 1.1196 1.1980
0.522 0.783 3 1.1504 1.0776 1.2231
0.783 1.131 3 1.1253 1.0910 1.1596
1.131 1.305 3 1.1217 1.0390 1.2043
1.305 1.740 3 1.1069 1.0179 1.1959
1.740 1.930 3 1.0916 1.0486 1.1346
1.930 2.043 3 1.0977 1.0026 1.1927
2.043 2.322 3 1.1177 1.0456 1.1898
2.322 2.500 3 1.4494 1.2992 1.5997
2.500 2.853 3 2.3588 1.7177 2.9999
2.853 2.964 3 2.2520 1.8978 2.6062
2.964 3.139 3 1.1759 1.1219 1.2298
3.139 5.191 3 1.0777 1.0235 1.1319
