{1 JetEta 0 None ScaleFactor}
-5.191 -3.139 3 0.9846 0.8996 1.0697
-3.139 -2.964 3 1.2174 1.1460 1.2887
-2.964 -2.853 3 2.3096 2.0104 2.6088
-2.853 -2.650 3 2.5339 2.1336 2.9342
-2.650 -2.500 3 2.0199 1.7734 2.2664
-2.500 -2.322 3 1.3743 1.2021 1.5465
-2.322 -2.043 3 1.0928 1.0477 1.1379
-2.043 -1.930 3 1.0713 0.9947 1.1478
-1.930 -1.740 3 1.1007 1.0158 1.1855
-1.740 -1.305 3 1.0946 1.0344 1.1548
-1.305 -1.131 3 1.1000 1.0577 1.1422
-1.131 -0.783 3 1.0893 1.0456 1.1330
-0.783 -0.522 3 1.1046 1.0611 1.1481
-0.522 -0.000 3 1.0816 1.0452 1.1179
0.000 0.522 3 1.0816 1.0452 1.1179
0.522 0.783 3 1.1046 1.0611 1.1481
0.783 1.131 3 1.0893 1.0456 1.1330
1.131 1.305 3 1.1000 1.0577 1.1422
1.305 1.740 3 1.0946 1.0344 1.1548
1.740 1.930 3 1.1007 1.0158 1.1855
1.930 2.043 3 1.0713 0.9947 1.1478
2.043 2.322 3 1.0928 1.0477 1.1379
2.322 2.500 3 1.3743 1.2021 1.5465
2.500 2.650 3 2.0199 1.7734 2.2664
2.650 2.853 3 2.5339 2.1336 2.9342
2.853 2.964 3 2.3096 2.0104 2.6088
2.964 3.139 3 1.2174 1.1460 1.2887
3.139 5.191 3 0.9846 0.8996 1.0697
