{ 2 JetEta JetPt 0 None ScaleFactor }
-5.191 -3.139 0 7000 3 1.0495 0.8770 1.2220
-3.139 -2.964 0 7000 3 1.2284 1.1021 1.3548
-2.964 -2.853 0 10 3 1.23592 1.03592 1.43592
-2.964 -2.853 10 20 3 1.25232 1.05232 1.45232
-2.964 -2.853 20 30 3 1.28392 1.08392 1.48392
-2.964 -2.853 30 40 3 1.32855 1.12855 1.52855
-2.964 -2.853 40 50 3 1.38349 1.18349 1.58349
-2.964 -2.853 50 60 3 1.44594 1.24594 1.64594
-2.964 -2.853 60 70 3 1.51322 1.31322 1.71322
-2.964 -2.853 70 80 3 1.58303 1.38303 1.78303
-2.964 -2.853 80 90 3 1.65351 1.45351 1.85351
-2.964 -2.853 90 100 3 1.72319 1.52319 1.92319
-2.964 -2.853 100 110 3 1.791 1.591 1.991
-2.964 -2.853 110 135 3 1.89997 1.69997 2.09997
-2.964 -2.853 135 160 3 2.04257 1.84257 2.24257
-2.964 -2.853 160 185 3 2.16318 1.96318 2.36318
-2.964 -2.853 185 210 3 2.26349 2.06349 2.46349
-2.964 -2.853 210 235 3 2.34632 2.14632 2.54632
-2.964 -2.853 235 260 3 2.41464 2.21464 2.61464
-2.964 -2.853 260 285 3 2.47112 2.27112 2.67112
-2.964 -2.853 285 310 3 2.51802 2.31802 2.71802
-2.964 -2.853 310 335 3 2.5572 2.3572 2.7572
-2.964 -2.853 335 360 3 2.59012 2.39012 2.79012
-2.964 -2.853 360 385 3 2.61796 2.41796 2.81796
-2.964 -2.853 385 410 3 2.64165 2.44165 2.84165
-2.964 -2.853 410 435 3 2.66195 2.46195 2.86195
-2.964 -2.853 435 460 3 2.67944 2.47944 2.87944
-2.964 -2.853 460 485 3 2.69459 2.49459 2.89459
-2.964 -2.853 485 7000 3 2.8403 2.6403 3.0403
-2.853 -2.65 0 10 3 1.02834 1 1.22834
-2.853 -2.65 10 20 3 1.05531 1 1.25531
-2.853 -2.65 20 30 3 1.10633 1 1.30633
-2.853 -2.65 30 40 3 1.1766 1 1.3766
-2.853 -2.65 40 50 3 1.26075 1.06075 1.46075
-2.853 -2.65 50 60 3 1.35374 1.15374 1.55374
-2.853 -2.65 60 70 3 1.45142 1.25142 1.65142
-2.853 -2.65 70 80 3 1.55052 1.35052 1.75052
-2.853 -2.65 80 90 3 1.64865 1.44865 1.84865
-2.853 -2.65 90 100 3 1.74409 1.54409 1.94409
-2.853 -2.65 100 110 3 1.8357 1.6357 2.0357
-2.853 -2.65 110 135 3 1.98072 1.78072 2.18072
-2.853 -2.65 135 160 3 2.16725 1.96725 2.36725
-2.853 -2.65 160 185 3 2.32274 2.12274 2.52274
-2.853 -2.65 185 210 3 2.45075 2.25075 2.65075
-2.853 -2.65 210 235 3 2.55571 2.35571 2.75571
-2.853 -2.65 235 260 3 2.64183 2.44183 2.84183
-2.853 -2.65 260 285 3 2.71275 2.51275 2.91275
-2.853 -2.65 285 310 3 2.77148 2.57148 2.97148
-2.853 -2.65 310 335 3 2.82041 2.62041 3.02041
-2.853 -2.65 335 360 3 2.86145 2.66145 3.06145
-2.853 -2.65 360 385 3 2.89611 2.69611 3.09611
-2.853 -2.65 385 410 3 2.92557 2.72557 3.12557
-2.853 -2.65 410 435 3 2.95078 2.75078 3.15078
-2.853 -2.65 435 460 3 2.97248 2.77248 3.17248
-2.853 -2.65 460 485 3 2.99128 2.79128 3.19128
-2.853 -2.65 485 7000 3 3.17137 2.97137 3.37137
-2.65 -2.5 0 10 3 1.16315 1 1.36315
-2.65 -2.5 10 20 3 1.16867 1 1.36867
-2.65 -2.5 20 30 3 1.17958 1 1.37958
-2.65 -2.5 30 40 3 1.19563 1 1.39563
-2.65 -2.5 40 50 3 1.21648 1.01648 1.41648
-2.65 -2.5 50 60 3 1.24169 1.04169 1.44169
-2.65 -2.5 60 70 3 1.27079 1.07079 1.47079
-2.65 -2.5 70 80 3 1.30326 1.10326 1.50326
