{1 JetEta 0 None ScaleFactor}
-5.191   -3.139   3  1.08  0.8763   1.2837
-3.139   -2.964   3  1.18  1.075 1.285
-2.964   -2.853   3  2.2   2.0182   2.3818
-2.853   -2.5  3  2.22  1.9298   2.5102
-2.5  -2.322   3  1.5   1.3305   1.6695
-2.322   -2.043   3  1.07  0.9801   1.1599
-2.043   -1.93 3  1.14  1.0036   1.2764
-1.93 -1.74 3  1.09  1.0648   1.1152
-1.74 -1.305   3  1.1   1.014 1.186
-1.305   -1.131   3  1.09  1.0238   1.1562
-1.131   -0.783   3  1.13  1.0992   1.1608
-0.783   -0.522   3  1.12  1.0368   1.2032
-0.522   0  3  1.17  1.1062   1.2338
0  0.522 3  1.17  1.1062   1.2338
0.522 0.783 3  1.12  1.0368   1.2032
0.783 1.131 3  1.13  1.0992   1.1608
1.131 1.305 3  1.09  1.0238   1.1562
1.305 1.74  3  1.1   1.014 1.186
1.74  1.93  3  1.09  1.0648   1.1152
1.93  2.043 3  1.14  1.0036   1.2764
2.043 2.322 3  1.07  0.9801   1.1599
2.322 2.5   3  1.5   1.3305   1.6695
2.5   2.853 3  2.22  1.9298   2.5102
2.853 2.964 3  2.2   2.0182   2.3818
2.964 3.139 3  1.18  1.075 1.285
3.139 5.191 3  1.08  0.8763   1.2837
