{1 JetEta 0 None ScaleFactor}
-5.191   -3.139   3  1.082 0.884 1.28
-3.139   -2.964   3  1.225 1.031 1.419
-2.964   -2.853   3  1.65  0.709 2.591
-2.853   -2.5  3  2.137 1.613 2.661
-2.5  -2.322   3  1.347 1.073 1.621
-2.322   -2.043   3  1.114 0.923 1.305
-2.043   -1.93 3  1.148 0.939 1.357
-1.93 -1.74 3  1.149 0.99  1.308
-1.74 -1.305   3  1.104 0.893 1.315
-1.305   -1.131   3  1.134 1.022 1.246
-1.131   -0.783   3  1.102 1.05  1.154
-0.783   -0.522   3  1.134 1.054 1.214
-0.522   0  3  1.15  1.107 1.193
0  0.522 3  1.15  1.107 1.193
0.522 0.783 3  1.134 1.054 1.214
0.783 1.131 3  1.102 1.05  1.154
1.131 1.305 3  1.134 1.022 1.246
1.305 1.74  3  1.104 0.893 1.315
1.74  1.93  3  1.149 0.99  1.308
1.93  2.043 3  1.148 0.939 1.357
2.043 2.322 3  1.114 0.923 1.305
2.322 2.5   3  1.347 1.073 1.621
2.5   2.853 3  2.137 1.613 2.661
2.853 2.964 3  1.65  0.709 2.591
2.964 3.139 3  1.225 1.031 1.419
3.139 5.191 3  1.082 0.884 1.28
