{1 JetEta 0 None ScaleFactor}
-5.191 -3.139 3 1.0922 1.0433 1.1411
-3.139 -2.964 3 1.1868 1.1492 1.2244
-2.964 -2.853 3 2.0567 1.7507 2.3627
-2.853 -2.500 3 2.0325 1.4964 2.5686
-2.500 -2.322 3 1.3397 1.2250 1.4544
-2.322 -2.043 3 1.1287 1.0756 1.1818
-2.043 -1.930 3 1.0603 0.9302 1.1904
-1.930 -1.740 3 1.1005 1.0490 1.1520
-1.740 -1.305 3 1.1093 1.0375 1.1811
-1.305 -1.131 3 1.0929 1.0072 1.1785
-1.131 -0.783 3 1.0998 1.0613 1.1384
-0.783 -0.522 3 1.1481 1.0966 1.1996
-0.522 -0.000 3 1.1545 1.1236 1.1853
0.000 0.522 3 1.1545 1.1236 1.1853
0.522 0.783 3 1.1481 1.0966 1.1996
0.783 1.131 3 1.0998 1.0613 1.1384
1.131 1.305 3 1.0929 1.0072 1.1785
1.305 1.740 3 1.1093 1.0375 1.1811
1.740 1.930 3 1.1005 1.0490 1.1520
1.930 2.043 3 1.0603 0.9302 1.1904
2.043 2.322 3 1.1287 1.0756 1.1818
2.322 2.500 3 1.3397 1.2250 1.4544
2.500 2.853 3 2.0325 1.4964 2.5686
2.853 2.964 3 2.0567 1.7507 2.3627
2.964 3.139 3 1.1868 1.1492 1.2244
3.139 5.191 3 1.0922 1.0433 1.1411
