{1 JetEta 0 None ScaleFactor}
-5.191 -3.139 3 0.9976 0.8928 1.1023
-3.139 -2.964 3 1.2083 1.1500 1.2666
-2.964 -2.853 3 2.0707 1.7931 2.3483
-2.853 -2.650 3 2.1439 1.8151 2.4726
-2.650 -2.500 3 1.6921 1.4922 1.8920
-2.500 -2.322 3 1.2439 1.1326 1.3552
-2.322 -2.043 3 1.0765 1.0001 1.1529
-2.043 -1.930 3 1.0555 0.9438 1.1672
-1.930 -1.740 3 1.0593 0.9963 1.1223
-1.740 -1.305 3 1.1004 1.0328 1.1680
-1.305 -1.131 3 1.0855 1.0261 1.1448
-1.131 -0.783 3 1.0670 1.0330 1.1011
-0.783 -0.522 3 1.1154 1.0684 1.1624
-0.522 -0.000 3 1.0748 1.0058 1.1439
0.000 0.522 3 1.0748 1.0058 1.1439
0.522 0.783 3 1.1154 1.0684 1.1624
0.783 1.131 3 1.0670 1.0330 1.1011
1.131 1.305 3 1.0855 1.0261 1.1448
1.305 1.740 3 1.1004 1.0328 1.1680
1.740 1.930 3 1.0593 0.9963 1.1223
1.930 2.043 3 1.0555 0.9438 1.1672
2.043 2.322 3 1.0765 1.0001 1.1529
2.322 2.500 3 1.2439 1.1326 1.3552
2.500 2.650 3 1.6921 1.4922 1.8920
2.650 2.853 3 2.1439 1.8151 2.4726
2.853 2.964 3 2.0707 1.7931 2.3483
2.964 3.139 3 1.2083 1.1500 1.2666
3.139 5.191 3 0.9976 0.8928 1.1023
