{1 JetEta 0 None ScaleFactor}
-5.191 -3.139 3 1.0846 0.8149 1.3544
-3.139 -2.964 3 1.1904 1.0681 1.3127
-2.964 -2.853 3 2.0118 1.7202 2.3034
-2.853 -2.500 3 1.9206 1.4395 2.4017
-2.500 -2.322 3 1.4188 1.1978 1.6398
-2.322 -2.043 3 1.0755 0.9485 1.2024
-2.043 -1.930 3 1.0893 0.8952 1.2833
-1.930 -1.740 3 1.0779 1.0187 1.1372
-1.740 -1.305 3 1.0923 0.9970 1.1876
-1.305 -1.131 3 1.0741 1.0215 1.1268
-1.131 -0.783 3 1.1048 1.0719 1.1376
-0.783 -0.522 3 1.1136 1.0158 1.2114
-0.522 0.000 3 1.1813 1.1174 1.2452
0.000 0.522 3 1.1813 1.1174 1.2452
0.522 0.783 3 1.1136 1.0158 1.2114
0.783 1.131 3 1.1048 1.0719 1.1376
1.131 1.305 3 1.0741 1.0215 1.1268
1.305 1.740 3 1.0923 0.9970 1.1876
1.740 1.930 3 1.0779 1.0187 1.1372
1.930 2.043 3 1.0893 0.8952 1.2833
2.043 2.322 3 1.0755 0.9485 1.2024
2.322 2.500 3 1.4188 1.1978 1.6398
2.500 2.853 3 1.9206 1.4395 2.4017
2.853 2.964 3 2.0118 1.7202 2.3034
2.964 3.139 3 1.1904 1.0681 1.3127
3.139 5.191 3 1.0846 0.8149 1.3544
