{1 JetEta 0 None ScaleFactor}
-5.191 -3.139 3 1.1159 1.0427 1.1890
-3.139 -2.964 3 1.2917 1.2149 1.3685
-2.964 -2.853 3 1.3682 1.1385 1.5980
-2.853 -2.650 3 1.3699 1.2794 1.4604
-2.650 -2.500 3 1.2124 1.1048 1.3199
-2.500 -2.322 3 1.1574 1.0538 1.2609
-2.322 -2.043 3 1.1263 0.9894 1.2631
-2.043 -1.930 3 1.0514 1.0094 1.0934
-1.930 -1.740 3 1.1086 1.0507 1.1664
-1.740 -1.305 3 1.2052 1.1092 1.3012
-1.305 -1.131 3 1.1713 1.0895 1.2532
-1.131 -0.783 3 1.1049 1.0659 1.1439
-0.783 -0.522 3 1.1332 1.1076 1.1588
-0.522 -0.000 3 1.1378 1.1117 1.1639
0.000 0.522 3 1.1378 1.1117 1.1639
0.522 0.783 3 1.1332 1.1076 1.1588
0.783 1.131 3 1.1049 1.0659 1.1439
1.131 1.305 3 1.1713 1.0895 1.2532
1.305 1.740 3 1.2052 1.1092 1.3012
1.740 1.930 3 1.1086 1.0507 1.1664
1.930 2.043 3 1.0514 1.0094 1.0934
2.043 2.322 3 1.1263 0.9894 1.2631
2.322 2.500 3 1.1574 1.0538 1.2609
2.500 2.650 3 1.2124 1.1048 1.3199
2.650 2.853 3 1.3699 1.2794 1.4604
2.853 2.964 3 1.3682 1.1385 1.5980
2.964 3.139 3 1.2917 1.2149 1.3685
3.139 5.191 3 1.1159 1.0427 1.1890

