{1 JetEta 0 None ScaleFactor}
-5.191 -3.139 3 1.143 1.114 1.172
-3.139 -2.964 3 1.310 1.280 1.340
-2.964 -2.853 3 1.848 1.847 1.849
-2.853 -2.650 3 1.821 1.817 1.825
-2.650 -2.500 3 1.563 1.544 1.582
-2.500 -2.322 3 1.277 1.265 1.289
-2.322 -2.043 3 1.186 1.175 1.197
-2.043 -1.930 3 1.063 1.050 1.076
-1.930 -1.740 3 1.148 1.147 1.149
-1.740 -1.305 3 1.124 1.109 1.139
-1.305 -1.131 3 1.022 1.019 1.025
-1.131 -0.783 3 1.130 1.127 1.133
-0.783 -0.522 3 1.110 1.105 1.115
-0.522 -0.000 3 1.140 1.131 1.149
0.000 0.522 3 1.140 1.131 1.149
0.522 0.783 3 1.110 1.105 1.115
0.783 1.131 3 1.130 1.127 1.133
1.131 1.305 3 1.022 1.019 1.025
1.305 1.740 3 1.124 1.109 1.139
1.740 1.930 3 1.148 1.147 1.149
1.930 2.043 3 1.063 1.050 1.076
2.043 2.322 3 1.186 1.175 1.197
2.322 2.500 3 1.277 1.265 1.289
2.500 2.650 3 1.563 1.544 1.582
2.650 2.853 3 1.821 1.817 1.825
2.853 2.964 3 1.848 1.847 1.849
2.964 3.139 3 1.310 1.280 1.340
3.139 5.191 3 1.143 1.114 1.172
